cast,sub-communities
Brahmin,"[""Anavil"", ""Audichya"", ""Baidhiki/Vaidhiki"", ""Baj"", ""Bardai"", ""Barendra"", ""Bhargav"", ""Bhitra"", ""Danua"", ""Desai"", ""Gaur"", ""Halua"", ""Jhadua"", ""Khadawal"", ""Khadayata"", ""Khedaval"", ""Mevada"", ""Modh"", ""Nagar"", ""Panda"", ""Rajgor"", ""Rarhi/Radhi"", ""Saraswat"", ""Sarua"", ""Shri Gaud"", ""Shri Mali"", ""Tapodhan"", ""Valam"", ""Zalora"", ""Others""]"
Brahmin%20-%20Iyengar,"[""Thenkalai"", ""Venkalai"", ""Others""]"
Brahmin%20-%20Iyer,"[""Ashtasahasram"", ""Brahacharnam"", ""Vadama"", ""Vathima"", ""Others""]"
Chettiar,"[""24 Manai Telugu Chettiar"", ""24 Manai Telugu Chettiar 16 Veedu"", ""24 Manai Telugu Chettiar 8 Veedu"", ""Achirapakkam Chettiar"", ""Agaram Vellan Chettiar"", ""Arya Vysya"", ""Ayira Vysya"", ""Beri Chettiar"", ""Devanga Chettiar"", ""Elur"", ""Gandla/Ganiga"", ""Kasukara"", ""Kongu Chettiar"", ""Kuruhini Chetty"", ""Manjapudur Chettiar"", ""Nattukottai Chettiar"", ""Padma Saliar"", ""Pannirandam Chettiar"", ""Parvatha Rajakulam "", ""Pattinavar"", ""Pattusali"", ""Sadhu"", ""Senai Thalaivar"", ""Sozhia Chetty"", ""Telugupatti"", ""Vadambar"", ""Vaniya Chettiar"", ""Vellan Chettiars"", ""Others""]"
Devar/Thevar/Mukkulathor,"[""Agamudayar"", ""Ambalakarar"", ""Appanad"", ""Easanattu"", ""Kallar"", ""Kondayamkottai"", ""Maniyakarar"", ""Maravar"", ""Piramalai Kallar"", ""Rajakula"", ""Sembanad"", ""Servai"", ""Thanjavur"", ""Vallambar"", ""Others""]"
Kongu%20Vellala%20Gounder,"[""Aadai"", ""Aadhi"", ""Aanthai"", ""Aavan"", ""Alagan"", ""Andai"", ""Andhuvan"", ""Cheran"", ""Devendran"", ""Eenjan"", ""Ennai"", ""Gounder"", ""Kaadai"", ""Kaari"", ""Kanakkan"", ""Kannan"", ""Kannandhai"", ""Keeran"", ""Koorai"", ""Koventhar"", ""Kuzhlaayan"", ""Maadai"", ""Maniyan"", ""Medhi"", ""Muthan"", ""Muzhlukkadhan"", ""Nattu"", ""Odhaalar"", ""Paandian"", ""Padaithalaiyan"", ""Panaiyan"", ""Panangadai"", ""Pannai"", ""Pannan"", ""Pavalan"", ""Payiran"", ""Periyan"", ""Perizhanthan"", ""Perunkudi"", ""Pillan"", ""Podiyan"", ""Ponnan"", ""Poochadhai"", ""Poodhiyan"", ""Poosan"", ""Sathandhai"", ""Sedan"", ""Sellan"", ""Sempoothan"", ""Sengannan"", ""Sengunni"", ""Seralan"", ""Sevadi"", ""Thodai"", ""Thooran"", ""Vannakkan"", ""Veliyan"", ""Vellamban"", ""Venduvan"", ""Viliyan"", ""Villi"", ""Others""]"
Mudaliar,"[""Agamudayar/Arcot/Thuluva Vellala"", ""Isai Vellalar"", ""Kerala Mudali"", ""Kongu Vellala"", ""Saiva Pillai Tirunelveli"", ""Sengunthar/Kaikolar"", ""Sozhiya Vellalar"", ""Thondai Mandala"", ""Veerakodi Vellala"", ""Others""]"
Nadar,"[""Gramani/Sanar Kongu"", ""Others""]"
Naidu,"[""Ediga/Goud"", ""Gavara"", ""Kamma"", ""Kappu"", ""Muthuraja"", ""Raju"", ""Vadugan"", ""Velama"", ""Yadava"", ""Others""]"
Pillai,"[""Aaru Nattu Vellala"", ""Agamudayar/Arcot/Thuluva Vellala "", ""Cherakula Vellalar"", ""Desikar"", ""Desikar Thanjavur"", ""Illaththu Pillai"", ""Isai Vellalar"", ""Karkathar"", ""Kodikal Pillai"", ""Nanjil Mudali"", ""Nanjil Pillai"", ""Nankudi Vellalar"", ""Othuvaar"", ""Pandiya Vellalar"", ""Saiva Pillai Thanjavur"", ""Saiva Pillai Tirunelveli"", ""Sengunthar/Kaikolar"", ""Sozhiya Vellalar"", ""Thondai Mandala Vellala"", ""Veerakodi Vellala"", ""Others""]"
Reddy,"[""Ayodhi"", ""Bhoomanchi"", ""Chowdary"", ""Desuru"", ""Gandla"", ""Ganjam"", ""Gone Kapu"", ""Gudati"", ""Kapu"", ""Motati"", ""Palle"", ""Palnati"", ""Panta"", ""Pedakanti"", ""Poknati"", ""Reddiyar"", ""Reddy"", ""Sajjana"", ""Vanni"", ""Velanati"", ""Others""]"
Scheduled%20Caste%20(SC),"[""Adi Dravida"", ""Ahirwar"", ""Arunthathiyar"", ""Bairwa"", ""Balai"", ""Dhanak"", ""Dhobi"", ""Jatav"", ""Julaha"", ""Kanakkan Padanna"", ""Kandara"", ""Khatik"", ""Kori/Koli"", ""Kuruva"", ""Madiga"", ""Mahar"", ""Mala"", ""Mannan/Velan/Vannan"", ""Meghwal"", ""Mehra"", ""Pallan/DevandraKulaVellalan"", ""Panan"", ""Paravan/Bharatar"", ""Pasi"", ""Paswan/Dusadh"", ""Poundra"", ""Pulaya/Cheruman"", ""Raigar"", ""Ramdasia"", ""Ravidasia"", ""Rohit/Chamar"", ""Samagar"", ""Sambava"", ""Satnami"", ""Shilpkar"", ""Sonkar"", ""Thandan"", ""Valluvan"", ""Valmiki"", ""Vettuvan"", ""Others""]"
Vanniyakullak%20Kshatriya,"[""Arasu"", ""Gounder"", ""Naicker"", ""Padayachi"", ""Palli"", ""Pandal"", ""Vannia Reddiar"", ""Vanniyar"", ""Others""]"
Vellalar,"[""Aaru Nattu Vellala"", ""Agamudayar/Arcot/Thuluva Vellala"", ""Cherakula Vellalar"", ""Desikar"", ""Illaththu Pillai"", ""Isai Vellalar"", ""Karkathar"", ""Kodikal Pillai"", ""Kongu Vellala"", ""Nanjil Mudali"", ""Nanjil Nattu Vellalar"", ""Nanjil Vellalar"", ""Nankudi Vellalar"", ""Othuvaar"", ""Pandiya Vellalar"", ""Saiva Pillai Thanjavur"", ""Saiva Pillai Tirunelveli"", ""Sengunthar/Kaikolar"", ""Sozhiya Vellalar"", ""Thondai Mandala Vellala"", ""Veerakodi Vellala"", ""Others""]"
Vishwakarma,"[""Blacksmith"", ""Carpentry (Vadrangi/Vadla)"", ""Goldsmiths"", ""Sculptor (Shilpi)"", ""Others""]"
Yadav,"[""Aheer/Ahir"", ""Dadhor"", ""Das"", ""Doddi"", ""Erragolla"", ""Gadri/Gadariya"", ""Gawli"", ""Goala/Gola/Golla"", ""Gop/Gopal/Gopala"", ""Goriya"", ""Gouda"", ""Gwala"", ""Gwalvanshi"", ""Jadav"", ""Karna"", ""Konar"", ""Krishnauth"", ""Kurubas/Gollas"", ""Kuruma"", ""Mandal"", ""Manjrauth"", ""Nandavanshi"", ""Pakanati"", ""Puja"", ""Raut"", ""Suryavanshi"", ""Thethwar"", ""Yadav"", ""Yadava Golla"", ""Yaduvanshi"", ""Others""]"
Nadar,"[""Gramani/Sanar Kongu"", ""Others""]"
Scheduled%20Caste%20(SC),"[""Adi Dravida"", ""Ahirwar"", ""Arunthathiyar"", ""Bairwa"", ""Balai"", ""Dhanak"", ""Dhobi"", ""Jatav"", ""Julaha"", ""Kanakkan Padanna"", ""Kandara"", ""Khatik"", ""Kori/Koli"", ""Kuruva"", ""Madiga"", ""Mahar"", ""Mala"", ""Mannan/Velan/Vannan"", ""Meghwal"", ""Mehra"", ""Pallan/DevandraKulaVellalan"", ""Panan"", ""Paravan/Bharatar"", ""Pasi"", ""Paswan/Dusadh"", ""Poundra"", ""Pulaya/Cheruman"", ""Raigar"", ""Ramdasia"", ""Ravidasia"", ""Rohit/Chamar"", ""Samagar"", ""Sambava"", ""Satnami"", ""Shilpkar"", ""Sonkar"", ""Thandan"", ""Valluvan"", ""Valmiki"", ""Vettuvan"", ""Others""]"
